pick,year,name,university,link,g,mp,fg,fga,fg3,fg3a,ft,fta,orb,trb,ast,stl,blk,tov,pf,pts,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g
1,2011,Kyrie Irving,Duke University,/players/i/irvinky01.html,11,303,55,104,18,39,64,71,6,37,47,16,6,27,23,192,.529,.462,.901,27.5,17.5,3.4,4.3
2,2011,Derrick Williams,University of Arizona,/players/w/willide02.html,69,2016,388,662,46,90,405,563,173,533,65,56,46,160,184,1227,.586,.511,.719,29.2,17.8,7.7,0.9
4,2011,Tristan Thompson,University of Texas at Austin,/players/t/thomptr01.html,36,1104,172,315,0,0,127,261,138,282,45,34,86,64,100,471,.546,,.487,30.7,13.1,7.8,1.3
8,2011,Brandon Knight,University of Kentucky,/players/k/knighbr03.html,38,1363,217,513,87,231,136,171,25,153,159,25,8,120,83,657,.423,.377,.795,35.9,17.3,4.0,4.2
9,2011,Kemba Walker,University of Connecticut,/players/w/walkeke02.html,111,2740,578,1350,126,387,501,640,85,493,460,185,28,258,115,1783,.428,.326,.783,36.5,16.1,4.4,4.1
10,2011,Jimmer Fredette,Brigham Young University,/players/f/fredeji01.html,139,2382,838,1843,296,752,627,711,49,367,515,167,12,350,85,2599,.455,.394,.882,33.5,18.7,2.6,3.7
11,2011,Klay Thompson,Washington State University,/players/t/thompkl01.html,98,2275,599,1414,242,620,316,382,62,475,259,130,74,289,174,1756,.424,.390,.827,35.0,17.9,4.8,2.6
12,2011,Alec Burks,University of Colorado,/players/b/burksal01.html,68,2100,423,855,47,150,398,495,149,397,165,76,24,157,163,1291,.495,.313,.804,30.9,19.0,5.8,2.4
13,2011,Markieff Morris,University of Kansas,/players/m/morrima02.html,109,1558,341,617,38,94,203,311,166,662,126,60,103,172,200,923,.553,.404,.653,21.1,8.5,6.1,1.2
14,2011,Marcus Morris,University of Kansas,/players/m/morrima03.html,109,1965,508,916,44,123,311,471,195,676,137,102,48,172,191,1371,.555,.358,.660,26.6,12.6,6.2,1.3
15,2011,Kawhi Leonard,San Diego State University,/players/l/leonaka01.html,70,2236,377,840,41,164,195,262,230,716,156,98,45,153,174,990,.449,.250,.744,31.9,14.1,10.2,2.2
16,2011,Nikola Vucevic,University of Southern California,/players/v/vucevni01.html,87,2409,367,721,37,122,191,256,213,694,97,45,95,129,212,962,.509,.303,.746,27.7,11.1,8.0,1.1
17,2011,Iman Shumpert,Georgia Institute of Technology,/players/s/shumpim01.html,92,1896,387,977,111,364,281,381,80,412,382,207,17,280,155,1166,.396,.305,.738,31.1,12.7,4.5,4.2
18,2011,Chris Singleton,Florida State University,/players/s/singlch01.html,95,1819,336,802,104,315,199,336,124,586,140,180,136,227,185,975,.419,.330,.592,30.3,10.3,6.2,1.5
