pick,year,name,university,link,g,mp,fg,fga,fg3,fg3a,ft,fta,orb,trb,ast,stl,blk,tov,pf,pts,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g
2,2006,LaMarcus Aldridge,University of Texas at Austin,/players/a/aldrila01.html,53,1602,276,471,0,0,161,248,,434,34,67,97,,,713,.586,,.649,30.2,13.5,8.2,0.6
3,2006,Adam Morrison,Gonzaga University,/players/m/morriad01.html,95,2908,669,1329,128,348,401,527,,485,188,66,35,,,1867,.503,.368,.761,30.6,19.7,5.1,2.0
4,2006,Tyrus Thomas,Louisiana State University,/players/t/thomaty01.html,32,829,152,250,1,1,90,137,,295,42,33,99,,,395,.608,1.000,.657,25.9,12.3,9.2,1.3
5,2006,Shelden Williams,Duke University,/players/w/willish02.html,139,3903,687,1202,4,12,550,792,,1262,119,161,422,,,1928,.572,.333,.694,28.1,13.9,9.1,0.9
6,2006,Brandon Roy,University of Washington,/players/r/roybr01.html,103,2837,533,1041,53,154,358,468,,517,308,103,49,,,1477,.512,.344,.765,27.5,14.3,5.0,3.0
7,2006,Randy Foye,Villanova University,/players/f/foyera01.html,131,4096,682,1711,213,647,389,498,,625,416,198,52,,,1966,.399,.329,.781,31.3,15.0,4.8,3.2
8,2006,Rudy Gay,University of Connecticut,/players/g/gayru01.html,64,1908,319,692,56,148,176,244,,378,116,83,111,,,870,.461,.378,.721,29.8,13.6,5.9,1.8
9,2006,Patrick O'Bryant,Bradley University,/players/o/obryapa01.html,52,1265,241,435,0,0,123,179,,408,38,46,147,,,605,.554,,.687,24.3,11.6,7.8,0.7
11,2006,J.J. Redick,Duke University,/players/r/redicjj01.html,139,4732,825,1906,457,1126,662,726,,375,306,152,9,,,2769,.433,.406,.912,34.0,19.9,2.7,2.2
12,2006,Hilton Armstrong,University of Connecticut,/players/a/armsthi01.html,131,1980,227,403,1,3,159,275,,517,73,43,191,,,614,.563,.333,.578,15.1,4.7,3.9,0.6
14,2006,Ronnie Brewer,University of Arkansas,/players/b/brewero02.html,90,2974,493,1067,104,306,326,486,,452,299,216,49,,,1416,.462,.340,.671,33.0,15.7,5.0,3.3
15,2006,Cedric Simmons,North Carolina State University,/players/s/simmoce01.html,63,1189,170,301,2,4,144,221,,260,68,26,115,,,486,.565,.500,.652,18.9,7.7,4.1,1.1
16,2006,Rodney Carney,University of Memphis,/players/c/carnero01.html,133,3670,659,1587,287,792,296,413,,651,155,134,131,,,1901,.415,.362,.717,27.6,14.3,4.9,1.2
17,2006,Shawne Williams,University of Memphis,/players/w/willish03.html,36,1002,156,375,48,154,114,145,,222,67,50,49,,,474,.416,.312,.786,27.8,13.2,6.2,1.9
