Player,Season,School,Conf,G,MP,FG,FGA,FGP,2P,2PA,2PP,3P,3PA,3PP,FT,FTA,FTP,TRB,AST,STL,BLK,TOV,PF,PTS
"Frank Mason","2016-17","Kansas","Big 12","36","1301","7.4","15.1","0.490","4.9","9.8","0.500","2.5","5.3","0.471","5.8","7.3","0.794","4.6","5.7","1.4","0.1","2.6","2.2","23.2"
"LJ Peak","2016-17","Georgetown","Big East","32","1051","6.4","13.2","0.480","5.1","9.4","0.543","1.3","3.8","0.327","5.8","7.3","0.796","4.6","4.2","1.3","0.5","3.3","3.3","19.8"
"Tyler Dorsey","2016-17","Oregon","Pac-12","39","1169","6.5","13.9","0.467","3.5","6.7","0.513","3.0","7.1","0.423","3.6","4.8","0.755","4.6","2.3","1.0","0.1","2.0","2.0","19.5"
"Devin Robinson","2016-17","Florida","SEC","36","952","6.0","12.6","0.475","4.2","7.9","0.524","1.8","4.6","0.391","3.1","4.2","0.723","9.2","1.0","1.3","1.2","1.6","3.4","16.8"
"Josh Hart","2016-17","Villanova","Big East","36","1193","7.9","15.5","0.510","5.4","9.4","0.579","2.5","6.1","0.404","4.3","5.7","0.747","7.7","3.6","1.8","0.3","2.4","2.7","22.6"
"Sindarius Thornwell","2016-17","South Carolina","SEC","31","1051","7.4","16.7","0.445","5.2","11.1","0.471","2.2","5.6","0.395","8.2","9.9","0.830","8.4","3.3","2.5","1.1","2.9","2.7","25.2"
"Nigel Williams-Goss","2016-17","Gonzaga","WCC","38","1248","7.1","14.5","0.486","5.7","10.8","0.527","1.4","3.8","0.368","5.0","5.8","0.867","7.3","5.7","2.1","0.1","2.6","1.9","20.5"
"Monte Morris","2016-17","Iowa State","Big 12","35","1237","7.0","15.0","0.465","5.2","10.4","0.503","1.7","4.6","0.378","2.9","3.6","0.802","5.5","7.0","1.7","0.3","1.4","1.6","18.6"
"Nigel Hayes","2016-17","Wisconsin","Big Ten","37","1190","6.1","13.2","0.457","5.3","10.9","0.488","0.7","2.4","0.314","4.5","7.7","0.587","8.2","3.4","0.9","0.5","2.1","2.3","17.4"
"Isaiah Briscoe","2016-17","Kentucky","SEC","36","1095","6.0","12.7","0.470","5.3","10.5","0.507","0.6","2.2","0.288","3.4","5.4","0.635","7.1","5.6","1.1","0.3","3.3","3.4","16.0"
"Dwayne Bacon","2016-17","Florida State","ACC","35","1008","8.8","19.4","0.452","6.5","12.6","0.516","2.3","6.8","0.333","4.1","5.5","0.754","5.8","2.4","1.4","0.2","2.8","2.2","23.9"
