pick,year,name,university,link,g,mp,fg,fga,fg3,fg3a,ft,fta,orb,trb,ast,stl,blk,tov,pf,pts,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g
1,2017,Markelle Fultz,University of Washington,/players/f/fultzma01.html,25,892,209,439,52,126,109,168,33,143,148,40,30,80,63,579,.476,.413,.649,35.7,23.2,5.7,5.9
2,2017,Lonzo Ball,University of California, Los Angeles,/players/b/balllo01.html,36,1263,189,343,80,194,66,98,33,216,274,66,28,89,65,524,.551,.412,.673,35.1,14.6,6.0,7.6
3,2017,Jayson Tatum,Duke University,/players/t/tatumja01.html,29,966,165,365,40,117,118,139,39,213,62,39,33,76,86,488,.452,.342,.849,33.3,16.8,7.3,2.1
4,2017,Josh Jackson,University of Kansas,/players/j/jacksjo02.html,35,1077,220,429,34,90,98,173,81,258,104,59,37,97,104,572,.513,.378,.566,30.8,16.3,7.4,3.0
5,2017,De'Aaron Fox,University of Kentucky,/players/f/foxde01.html,36,1064,214,447,17,69,156,212,21,143,165,53,7,87,90,601,.479,.246,.736,29.6,16.7,4.0,4.6
6,2017,Jonathan Isaac,Florida State University,/players/i/isaacjo01.html,32,839,130,256,31,89,92,118,56,251,37,37,49,48,70,383,.508,.348,.780,26.2,12.0,7.8,1.2
7,2017,Lauri Markkanen,University of Arizona,/players/m/markkla01.html,37,1140,185,376,69,163,137,164,88,266,32,15,19,40,73,576,.492,.423,.835,30.8,15.6,7.2,0.9
9,2017,Dennis Smith,North Carolina State University,/players/s/smithde03.html,32,1114,191,420,55,153,143,200,26,146,197,62,14,108,67,580,.455,.359,.715,34.8,18.1,4.6,6.2
10,2017,Zach Collins,Gonzaga University,/players/c/colliza01.html,39,673,135,207,10,21,110,148,66,230,16,18,69,60,105,390,.652,.476,.743,17.3,10.0,5.9,0.4
11,2017,Malik Monk,University of Kentucky,/players/m/monkma01.html,38,1218,251,558,104,262,148,180,12,95,87,36,19,75,72,754,.450,.397,.822,32.1,19.8,2.5,2.3
12,2017,Luke Kennard,Duke University,/players/k/kennalu01.html,73,2275,378,820,143,373,248,286,78,317,146,65,19,87,152,1147,.461,.383,.867,31.2,15.7,4.3,2.0
