pick,year,name,university,link,g,mp,fg,fga,fg3,fg3a,ft,fta,orb,trb,ast,stl,blk,tov,pf,pts,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g
29,2007,Alando Tucker,University of Wisconsin,/players/t/tuckeal02.html,134,4297,798,1663,101,329,520,817,NULL,769,213,104,29,NULL,,2217,.480,.307,.636,32.1,16.5,5.7,1.6
31,2007,Carl Landry,Purdue University,/players/l/landrca01.html,64,1915,403,669,10,43,359,503,NULL,453,78,65,52,NULL,,1175,.602,.233,.714,29.9,18.4,7.1,1.2
32,2007,Gabe Pruitt,University of Southern California,/players/p/pruitga01.html,80,2590,358,817,179,456,207,266,NULL,247,283,158,16,NULL,,1102,.438,.393,.778,32.4,13.8,3.1,3.5
33,2007,Marcus Williams,University of Arizona,/players/w/willima04.html,63,1939,355,748,53,149,164,231,NULL,354,128,NULL,NULL,NULL,NULL,927,.475,.356,.710,30.8,14.7,5.6,2.0
34,2007,Nick Fazekas,University of Nevada Reno,/players/f/fazekni01.html,131,3944,901,1695,116,340,546,670,NULL,1254,170,98,192,NULL,,2464,.532,.341,.815,30.1,18.8,9.6,1.3
35,2007,Glen Davis,Louisiana State University,/players/d/davisgl01.html,95,3036,566,1142,26,84,429,618,NULL,916,147,108,110,NULL,,1587,.496,.310,.694,32.0,16.7,9.6,1.5
36,2007,Jermareo Davidson,University of Alabama,/players/d/davidje01.html,126,3611,474,1016,4,19,316,441,NULL,918,127,68,221,NULL,,1268,.467,.211,.717,28.7,10.1,7.3,1.0
37,2007,Josh McRoberts,Duke University,/players/m/mcrobjo01.html,69,2047,279,517,10,36,174,262,NULL,449,167,80,128,NULL,,742,.540,.278,.664,29.7,10.8,6.5,2.4
41,2007,Chris Richard,University of Florida,/players/r/richach01.html,141,2203,286,430,0,0,125,198,NULL,445,49,48,59,NULL,,697,.665,NULL,.631,15.6,4.9,3.2,0.3
42,2007,Derrick Byars,Vanderbilt University,/players/b/byarsde01.html,126,NULL,496,1071,198,499,194,278,NULL,466,275,119,22,NULL,,1384,.463,.397,.698,NULL,11.0,3.7,2.2
