pick,year,name,university,link,g,mp,fg,fga,fg3,fg3a,ft,fta,orb,trb,ast,stl,blk,tov,pf,pts,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g,prospect_tier
18,2017,T.J. Leaf,University of California Los Angeles,/players/l/leaftj01.html,35,1048,235,381,27,58,72,106,78,287,85,22,39,52,89,569,0.617,0.466,0.679,29.9,16.3,8.2,2.4,1
19,2017,John Collins,Wake Forest University,/players/c/collijo01.html,64,1324,315,524,0,1,229,314,176,446,24,30,75,91,180,859,0.601,0,0.729,20.7,13.4,7,0.4,1
20,2017,Harry Giles,Duke University,/players/g/gilesha01.html,26,300,45,78,0,0,12,24,41,100,9,9,17,18,58,102,0.577,-1,0.5,11.5,3.9,3.8,0.3,1
22,2017,Jarrett Allen,University of Texas at Austin,/players/a/allenja01.html,33,1061,179,316,0,7,84,149,100,278,27,19,51,84,68,442,0.566,0,0.564,32.2,13.4,8.4,0.8,2
23,2017,OG Anunoby,Indiana University,/players/a/anunoog01.html,50,868,134,238,27,74,47,90,70,177,41,48,47,54,85,342,0.563,0.365,0.522,17.4,6.8,3.5,0.8,2
24,2017,Tyler Lydon,Syracuse University,/players/l/lydonty01.html,71,2349,278,584,98,245,169,209,145,527,111,77,116,106,184,823,0.476,0.4,0.809,33.1,11.6,7.4,1.6,2
26,2017,Caleb Swanigan,Purdue University,/players/s/swanica01.html,69,2014,352,703,59,157,231,304,150,718,168,27,36,208,172,994,0.501,0.376,0.76,29.2,14.4,10.4,2.4,2
27,2017,Kyle Kuzma,University of Utah,/players/k/kuzmaky01.html,96,2013,372,735,51,169,171,270,155,532,141,31,35,151,151,966,0.506,0.302,0.633,21,10.1,5.5,1.5,2
28,2017,Tony Bradley,University of North Carolina,/players/b/bradlto01.html,38,553,102,178,0,0,65,105,98,195,23,10,22,25,69,269,0.573,-1,0.619,14.6,7.1,5.1,0.6,2
29,2017,Derrick White,University of Colorado,/players/w/whitede01.html,34,1116,205,404,57,144,148,182,35,139,148,42,49,81,72,615,0.507,0.396,0.813,32.8,18.1,4.1,4.4,2
30,2017,Josh Hart,Villanova University,/players/h/hartjo01.html,146,4093,677,1326,207,532,360,500,252,812,266,161,43,194,327,1921,0.511,0.389,0.72,28,13.2,5.6,1.8,2
31,2017,Frank Jackson,Duke University,/players/j/jacksfr01.html,36,895,133,281,51,129,77,102,23,90,61,20,2,49,85,394,0.473,0.395,0.755,24.9,10.9,2.5,1.7,2
32,2017,Davon Reed,University of Miami,/players/r/reedda01.html,131,3679,438,1018,202,512,265,340,86,477,216,113,48,187,247,1343,0.43,0.395,0.779,28.1,10.3,3.6,1.6,2
33,2017,Wesley Iwundu,Kansas State University,/players/i/iwundwe01.html,132,3728,425,917,51,151,348,506,152,618,366,121,52,280,277,1249,0.463,0.338,0.688,28.2,9.5,4.7,2.8,2
34,2017,Frank Mason,University of Kansas,/players/m/masonfr01.html,145,4345,609,1340,185,440,482,633,79,500,576,165,10,270,287,1885,0.454,0.42,0.761,30,13,3.4,4,2
35,2017,Ivan Rabb,University of California,/players/r/rabbiv01.html,65,1987,312,574,9,22,227,341,188,614,79,39,73,119,201,860,0.544,0.409,0.666,30.6,13.2,9.4,1.2,2
37,2017,Semi Ojeleye,Southern Methodist University,/players/o/ojelese01.html,58,1338,222,463,81,195,186,237,90,269,56,22,18,55,79,711,0.479,0.415,0.785,23.1,12.3,4.6,1,2
38,2017,Jordan Bell,University of Oregon,/players/b/belljo01.html,105,2591,345,566,3,16,121,192,224,719,155,111,234,162,241,814,0.61,0.188,0.63,24.7,7.8,6.8,1.5,2
39,2017,Jawun Evans,Oklahoma State University,/players/e/evansja01.html,54,1571,308,688,55,135,225,275,34,206,312,82,8,146,128,896,0.448,0.407,0.818,29.1,16.6,3.8,5.8,2
40,2017,Dwayne Bacon,Florida State University,/players/b/bacondw01.html,69,1987,418,930,89,285,214,292,81,344,111,68,5,145,128,1139,0.449,0.312,0.733,28.8,16.5,5,1.6,2
41,2017,Tyler Dorsey,University of Oregon,/players/d/dorsety01.html,75,2252,342,752,155,373,216,295,81,290,138,59,11,128,133,1055,0.455,0.416,0.732,30,14.1,3.9,1.8,3
42,2017,Thomas Bryant,Indiana University,/players/b/bryanth01.html,69,1745,305,515,28,75,204,284,146,428,84,43,84,136,203,842,0.592,0.373,0.718,25.3,12.2,6.2,1.2,3
44,2017,Damyean Dotson,University of Oregon,/players/d/dotsoda01.html,134,3906,645,1390,243,639,199,250,166,675,149,101,21,154,214,1732,0.464,0.38,0.796,29.1,12.9,5,1.1,3
45,2017,Dillon Brooks,University of Oregon,/players/b/brookdi01.html,109,3153,587,1243,133,367,305,384,174,495,279,96,51,234,320,1612,0.472,0.362,0.794,28.9,14.8,4.5,2.6,3
46,2017,Sterling Brown,Southern Methodist University,/players/b/brownst02.html,136,3492,394,782,128,284,194,252,190,653,294,139,51,210,304,1110,0.504,0.451,0.77,25.7,8.2,4.8,2.2,3
47,2017,Ike Anigbogu,University of California Los Angeles,/players/a/anigbik01.html,29,377,57,101,0,0,23,43,41,117,6,5,35,24,72,137,0.564,-1,0.535,13,4.7,4,0.2,3
48,2017,Sindarius Thornwell,University of South Carolina,/players/t/thornsi01.html,132,4194,596,1521,179,528,570,739,214,685,390,199,78,331,320,1941,0.392,0.339,0.771,31.8,14.7,5.2,3,3
51,2017,Monte Morris,Iowa State University,/players/m/morrimo01.html,140,4734,636,1336,152,399,284,364,108,516,768,225,41,165,212,1708,0.476,0.381,0.78,33.8,12.2,3.7,5.5,3
52,2017,Edmond Sumner,Xavier University,/players/s/sumneed01.html,59,1542,205,478,37,130,216,296,30,202,223,68,22,128,132,663,0.429,0.285,0.73,26.1,11.2,3.4,3.8,3
53,2017,Kadeem Allen,University of Arizona,/players/a/allenka01.html,68,1868,207,451,50,125,153,211,20,243,222,88,48,133,165,617,0.459,0.4,0.725,27.5,9.1,3.6,3.3,3
54,2017,Alec Peters,Valparaiso University,/players/p/peteral01.html,134,4250,790,1623,289,694,479,566,264,996,204,102,38,248,283,2348,0.487,0.416,0.846,31.7,17.5,7.4,1.5,3
55,2017,Nigel Williams-Goss,Gonzaga University,/players/w/willini01.html,100,3415,574,1236,97,293,291,361,69,509,496,133,13,258,191,1536,0.464,0.331,0.806,34.2,15.4,5.1,5,3
56,2017,Jabari Bird,University of California,/players/b/birdja01.html,114,3013,450,1018,187,504,140,186,90,374,132,58,35,137,197,1227,0.442,0.371,0.753,26.4,10.8,3.3,1.2,3
59,2017,Jaron Blossomgame,Clemson University,/players/b/blossja01.html,128,3925,627,1286,96,304,383,529,242,831,141,83,95,190,211,1733,0.488,0.316,0.724,30.7,13.5,6.5,1.1,3
1,2016,Ben Simmons,Louisiana State University,/players/s/simmobe01.html,33,1151,216,386,1,3,199,297,103,388,158,65,27,111,92,632,0.56,0.333,0.67,34.9,19.2,11.8,4.8,1
2,2016,Brandon Ingram,Duke University,/players/i/ingrabr01.html,36,1246,214,484,80,195,116,170,67,244,72,41,49,72,74,624,0.442,0.41,0.682,34.6,17.3,6.8,2,1
3,2016,Jaylen Brown,University of California,/players/b/brownja02.html,34,939,163,378,30,102,142,217,36,182,68,27,22,105,108,498,0.431,0.294,0.654,27.6,14.6,5.4,2,1
5,2016,Kris Dunn,Providence College,/players/d/dunnkr01.html,95,2997,424,943,73,206,293,423,106,486,552,208,38,315,280,1214,0.45,0.354,0.693,31.5,12.8,5.1,5.8,1
6,2016,Buddy Hield,University of Oklahoma,/players/h/hieldbu01.html,132,4182,783,1748,349,894,376,450,209,661,254,168,38,285,259,2291,0.448,0.39,0.836,31.7,17.4,5,1.9,1
7,2016,Jamal Murray,University of Kentucky,/players/m/murraja01.html,36,1267,244,538,113,277,119,152,53,186,79,35,11,84,75,720,0.454,0.408,0.783,35.2,20,5.2,2.2,1
8,2016,Marquese Chriss,University of Washington,/players/c/chrisma01.html,34,848,179,338,21,60,88,129,85,183,26,32,55,69,138,467,0.53,0.35,0.682,24.9,13.7,5.4,0.8,1
9,2016,Jakob Poeltl,University of Utah,/players/p/poeltja01.html,70,1885,356,541,0,1,219,362,194,557,93,33,119,129,165,931,0.658,0,0.605,26.9,13.3,8,1.3,1
11,2016,Domantas Sabonis,Gonzaga University,/players/s/sabondo01.html,74,1971,384,608,5,14,229,314,192,694,97,39,43,151,219,1002,0.632,0.357,0.729,26.6,13.5,9.4,1.3,1
12,2016,Taurean Prince,Baylor University,/players/p/princta02.html,129,2604,468,1017,130,346,255,355,202,547,145,121,63,221,271,1321,0.46,0.376,0.718,20.2,10.2,4.2,1.1,1
14,2016,Denzel Valentine,Michigan State University,/players/v/valende01.html,144,4182,579,1309,265,650,222,285,157,855,639,132,40,317,303,1645,0.442,0.408,0.779,29,11.4,5.9,4.4,1
17,2016,Wade Baldwin,Vanderbilt University,/players/b/baldwwa01.html,68,2011,234,543,84,199,240,300,30,277,327,90,15,158,171,792,0.431,0.422,0.8,29.6,11.6,4.1,4.8,1
18,2016,Henry Ellenson,Marquette University,/players/e/ellenhe01.html,33,1107,194,435,30,104,143,191,71,321,59,28,49,78,84,561,0.446,0.288,0.749,33.5,17,9.7,1.8,1
19,2016,Malik Beasley,Florida State University,/players/b/beaslma01.html,34,1014,185,393,55,142,104,128,44,180,51,32,6,59,75,529,0.471,0.387,0.813,29.8,15.6,5.3,1.5,1
20,2016,Caris LeVert,University of Michigan,/players/l/leverca01.html,103,2721,366,843,134,334,204,265,39,364,275,97,22,136,151,1070,0.434,0.401,0.77,26.4,10.4,3.5,2.7,1
21,2016,DeAndre Bembry,Saint Joseph's University,/players/b/bembrde01.html,101,3645,580,1270,120,385,310,494,137,672,364,143,78,248,249,1590,0.457,0.312,0.628,36.1,15.7,6.7,3.6,2
22,2016,Malachi Richardson,Syracuse University,/players/r/richama01.html,37,1272,152,412,79,224,113,157,19,158,77,42,10,79,91,496,0.369,0.353,0.72,34.4,13.4,4.3,2.1,2
25,2016,Brice Johnson,University of North Carolina,/players/j/johnsbr02.html,148,3102,734,1272,0,0,298,417,314,1035,133,111,163,187,369,1766,0.577,-1,0.715,21,11.9,7,0.9,2
27,2016,Pascal Siakam,New Mexico State University,/players/s/siakapa01.html,68,2224,441,800,3,17,241,339,243,657,103,62,136,131,180,1126,0.551,0.176,0.711,32.7,16.6,9.7,1.5,2
28,2016,Skal Labissiere,University of Kentucky,/players/l/labissk01.html,36,567,98,190,0,2,41,62,35,113,11,9,59,33,108,237,0.516,0,0.661,15.8,6.6,3.1,0.3,2
29,2016,Dejounte Murray,University of Washington,/players/m/murrade01.html,34,1139,202,486,34,118,110,166,48,203,151,62,10,110,90,548,0.416,0.288,0.663,33.5,16.1,6,4.4,2
30,2016,Damian Jones,Vanderbilt University,/players/j/jonesda03.html,99,2684,508,897,1,8,296,524,207,630,71,37,167,197,301,1313,0.566,0.125,0.565,27.1,13.3,6.4,0.7,2
31,2016,Deyonta Davis,Michigan State University,/players/d/davisde01.html,35,650,119,199,0,0,23,38,72,191,26,9,64,30,80,261,0.598,-1,0.605,18.6,7.5,5.5,0.7,2
33,2016,Cheick Diallo,University of Kansas,/players/d/diallch01.html,27,202,33,58,0,0,15,27,17,68,1,7,23,17,38,81,0.569,-1,0.556,7.5,3,2.5,0,2
34,2016,Tyler Ulis,University of Kentucky,/players/u/ulisty01.html,72,2170,259,607,88,237,209,247,35,172,381,88,6,107,120,815,0.427,0.371,0.846,30.1,11.3,2.4,5.3,2
36,2016,Malcolm Brogdon,University of Virginia,/players/b/brogdma01.html,136,4157,601,1399,185,507,422,482,82,563,335,117,31,207,250,1809,0.43,0.365,0.876,30.6,13.3,4.1,2.5,2
37,2016,Chinanu Onuaku,University of Louisville,/players/o/onuakch01.html,66,1385,182,294,0,1,47,86,160,423,70,50,104,109,175,411,0.619,0,0.547,21,6.2,6.4,1.1,2
38,2016,Patrick McCaw,University of Nevada Las Vegas,/players/m/mccawpa01.html,65,2060,273,622,125,341,122,162,61,273,214,129,23,125,122,793,0.439,0.367,0.753,31.7,12.2,4.2,3.3,2
40,2016,Diamond Stone,University of Maryland,/players/s/stonedi01.html,35,807,167,294,0,0,102,134,77,188,15,18,55,53,80,436,0.568,-1,0.761,23.1,12.5,5.4,0.4,2
41,2016,Stephen Zimmerman,University of Nevada Las Vegas,/players/z/zimmest01.html,26,680,102,214,5,17,63,101,56,227,22,14,51,54,79,272,0.477,0.294,0.624,26.2,10.5,8.7,0.8,3
42,2016,Isaiah Whitehead,Seton Hall University,/players/w/whiteis01.html,56,1710,285,760,117,326,196,259,40,207,251,70,63,192,131,883,0.375,0.359,0.757,30.5,15.8,3.7,4.5,3
45,2016,Demetrius Jackson,University of Notre Dame,/players/j/jacksde01.html,103,3243,415,888,133,349,241,308,90,322,335,114,23,170,197,1204,0.467,0.381,0.782,31.5,11.7,3.1,3.3,3
46,2016,A.J. Hammons,Purdue University,/players/h/hammoaj01.html,132,3201,613,1138,6,23,361,523,314,930,104,50,343,271,325,1593,0.539,0.261,0.69,24.3,12.1,7,0.8,3
47,2016,Jake Layman,University of Maryland,/players/l/laymaja01.html,141,3938,482,1083,198,547,274,361,159,674,156,123,113,204,272,1436,0.445,0.362,0.759,27.9,10.2,4.8,1.1,3
