pick,year,name,university,link,g,mp,fg,fga,fg3,fg3a,ft,fta,orb,trb,ast,stl,blk,tov,pf,pts,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g,prospect_tier
44,2014,Markel Brown,Oklahoma State University,/players/b/brownma02.html,134,4088,551,1255,146,421,407,555,104,579,308,136,113,239,285,1655,0.439,0.347,0.733,30.5,12.4,4.3,2.3,3
45,2014,Dwight Powell,Stanford University,/players/p/poweldw01.html,136,3569,515,1110,33,114,402,557,225,853,240,125,118,283,390,1465,0.464,0.289,0.722,26.2,10.8,6.3,1.8,3
46,2014,Jordan Clarkson,University of Missouri,/players/c/clarkjo01.html,93,2952,473,1075,95,295,392,487,74,310,249,87,26,254,211,1433,0.44,0.322,0.805,31.7,15.4,3.3,2.7,3
47,2014,Russ Smith,University of Louisville,/players/s/smithru01.html,133,3228,620,1501,180,521,488,642,98,359,378,257,8,316,321,1908,0.413,0.345,0.76,24.3,14.3,2.7,2.8,3
48,2014,Lamar Patterson,University of Pittsburgh,/players/p/pattela01.html,149,3628,477,1097,171,463,285,394,173,588,427,146,44,244,276,1410,0.435,0.369,0.723,24.3,9.5,3.9,2.9,3
49,2014,Cameron Bairstow,University of New Mexico,/players/b/bairsca01.html,134,2787,418,808,2,6,401,559,234,637,102,62,99,157,282,1239,0.517,0.333,0.717,20.8,9.2,4.8,0.8,3
50,2014,Alec Brown,University of Wisconsin-Green Bay,/players/b/brownal01.html,126,3693,604,1299,78,195,392,524,287,800,111,74,309,263,336,1678,0.465,0.4,0.748,29.3,13.3,6.3,0.9,3
55,2014,Semaj Christon,Xavier University,/players/c/chrisse01.html,64,2227,363,785,26,77,282,421,20,177,281,90,11,198,152,1034,0.462,0.338,0.67,34.8,16.2,2.8,4.4,3
56,2014,Roy Devyn Marble,University of Iowa,/players/m/marblde01.html,136,3749,564,1359,134,396,432,595,118,460,397,176,33,232,212,1694,0.415,0.338,0.726,27.6,12.5,3.4,2.9,3
58,2014,Jordan McRae,University of Tennessee,/players/m/mcraejo01.html,114,3088,496,1190,179,522,350,455,75,371,209,73,97,225,218,1521,0.417,0.343,0.769,27.1,13.3,3.3,1.8,3
59,2014,Xavier Thames,San Diego State University,/players/t/thamexa01.html,128,3581,427,1080,123,353,397,488,63,330,354,144,22,211,241,1374,0.395,0.348,0.814,28,10.7,2.6,2.8,3
60,2014,Cory Jefferson,Baylor University,/players/j/jeffeco01.html,130,2589,431,794,17,50,280,424,243,722,51,42,166,101,226,1159,0.543,0.34,0.66,19.9,8.9,5.6,0.4,3
