pick,year,name,university,link,g,mp,fg,fga,fg3,fg3a,ft,fta,orb,trb,ast,stl,blk,tov,pf,pts,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g
2,2002,Jay Williams,Duke University,/players/w/willija03.html,108,3572,713,1575,313,797,340,507,,395,644,235,14,424,253,2079,.453,.393,.671,33.1,19.3,3.7,6.0
3,2002,Mike Dunleavy,Duke University,/players/d/dunlemi02.html,104,2994,499,1050,179,483,194,278,,601,225,166,55,202,213,1371,.475,.371,.698,28.8,13.2,5.8,2.2
4,2002,Drew Gooden,University of Kansas,/players/g/goodedr01.html,98,2566,594,1205,19,62,319,457,,905,156,104,107,251,241,1526,.493,.306,.698,26.2,15.6,9.2,1.6
6,2002,Dajuan Wagner,University of Memphis,/players/w/wagneda02.html,36,1146,265,647,66,208,166,230,,89,128,43,20,105,101,762,.410,.317,.722,31.8,21.2,2.5,3.6
8,2002,Chris Wilcox,University of Maryland,/players/w/wilcoch01.html,70,1160,224,431,0,2,106,180,,330,69,34,71,,,554,.520,.000,.589,16.6,7.9,4.7,1.0
10,2002,Caron Butler,University of Connecticut,/players/b/butleca01.html,63,2173,404,868,44,121,284,370,,477,190,134,22,168,151,1136,.465,.364,.768,34.5,18.0,7.6,3.0
11,2002,Jared Jeffries,Indiana University,/players/j/jeffrja01.html,70,2283,353,785,39,120,263,409,,507,156,85,88,202,188,1008,.450,.325,.643,32.6,14.4,7.2,2.2
12,2002,Melvin Ely,California State University, Fresno,/players/e/elyme01.html,124,4031,789,1367,1,3,372,574,,924,139,97,361,303,346,1951,.577,.333,.648,32.5,15.7,7.5,1.1
13,2002,Marcus Haislip,University of Tennessee,/players/h/haislma01.html,89,1525,276,521,38,102,155,220,,307,41,28,116,94,216,745,.530,.373,.705,17.1,8.4,3.4,0.5
14,2002,Fred Jones,University of Oregon,/players/j/jonesfr01.html,125,3527,554,1151,147,435,389,483,,631,367,148,74,305,313,1644,.481,.338,.805,28.2,13.2,5.0,2.9
17,2002,Juan Dixon,University of Maryland,/players/d/dixonju01.html,141,4002,802,1713,239,615,426,501,,599,371,333,26,355,283,2269,.468,.389,.850,28.4,16.1,4.2,2.6
18,2002,Curtis Borchardt,Stanford University,/players/b/borchcu01.html,66,1426,233,436,15,40,190,275,,478,82,27,144,90,151,671,.534,.375,.691,21.6,10.2,7.2,1.2
19,2002,Ryan Humphrey,University of Notre Dame,/players/h/humphry01.html,123,2797,647,1308,8,22,331,618,,1038,158,105,285,214,267,1633,.495,.364,.536,30.7,13.3,8.4,1.3
20,2002,Kareem Rush,University of Missouri,/players/r/rushka01.html,84,2536,550,1235,226,536,258,332,,456,174,102,47,233,194,1584,.445,.422,.777,30.2,18.9,5.4,2.1
21,2002,Qyntel Woods,Northeast Mississippi Community College,/players/w/woodsqy01.html,23,722,239,495,34,113,230,285,,229,42,,,,,742,.483,.301,.807,31.4,32.3,10.0,1.8
22,2002,Casey Jacobsen,Stanford University,/players/j/jacobca01.html,95,3020,547,1163,222,520,407,528,,364,254,50,7,193,133,1723,.470,.427,.771,31.8,18.1,3.8,2.7
23,2002,Tayshaun Prince,University of Kentucky,/players/p/princta01.html,135,4018,648,1419,204,621,275,370,,757,254,110,142,224,195,1775,.457,.329,.743,29.8,13.1,5.6,1.9
25,2002,Frank Williams,University of Illinois at Urbana-Champaign,/players/w/willifr02.html,101,3202,467,1180,135,414,371,460,,399,432,212,28,275,185,1440,.396,.326,.807,31.7,14.3,4.0,4.3
