pick,year,name,university,link,g,mp,fg,fga,fg3,fg3a,ft,fta,orb,trb,ast,stl,blk,tov,pf,pts,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g
1,2013,Anthony Bennett,University of Nevada, Las Vegas,/players/b/bennean01.html,35,950,202,379,36,96,124,177,86,285,34,24,43,65,80,564,.533,.375,.701,27.1,16.1,8.1,1.0
2,2013,Victor Oladipo,Indiana University,/players/o/oladivi01.html,104,2558,406,754,48,142,257,359,207,537,175,161,56,203,248,1117,.538,.338,.716,24.6,10.7,5.2,1.7
3,2013,Otto Porter,Georgetown University,/players/p/porteot01.html,64,2077,293,588,55,155,181,241,121,457,135,94,55,85,125,822,.498,.355,.751,32.5,12.8,7.1,2.1
4,2013,Cody Zeller,Indiana University,/players/z/zelleco01.html,72,2087,399,674,0,2,359,475,188,525,92,86,87,141,177,1157,.592,.000,.756,29.0,16.1,7.3,1.3
5,2013,Alex Len,University of Maryland,/players/l/lenal01.html,60,1470,225,418,1,9,132,199,145,417,50,12,125,93,155,583,.538,.111,.663,24.5,9.7,7.0,0.8
6,2013,Nerlens Noel,University of Kentucky,/players/n/noelne01.html,24,765,98,166,0,0,55,104,65,227,38,50,106,45,62,251,.590,,.529,31.9,10.5,9.5,1.6
7,2013,Ben McLemore,University of Kansas,/players/m/mclembe01.html,37,1191,198,400,73,174,120,138,47,192,73,37,25,77,69,589,.495,.420,.870,32.2,15.9,5.2,2.0
8,2013,Kentavious Caldwell-Pope,University of Georgia,/players/c/caldwke01.html,64,2114,338,814,149,439,188,250,82,392,96,123,28,100,139,1013,.415,.339,.752,33.0,15.8,6.1,1.5
9,2013,Trey Burke,University of Michigan,/players/b/burketr01.html,73,2605,436,969,133,362,226,291,43,242,416,93,33,180,126,1231,.450,.367,.777,35.7,16.9,3.3,5.7
10,2013,CJ McCollum,Lehigh University,/players/m/mccolcj01.html,111,3657,767,1746,217,576,610,739,167,696,304,228,51,267,195,2361,.439,.377,.825,32.9,21.3,6.3,2.7
11,2013,Michael Carter-Williams,Syracuse University,/players/c/cartemi01.html,66,1678,180,452,42,137,142,209,60,237,345,129,27,154,117,544,.398,.307,.679,25.4,8.2,3.6,5.2
12,2013,Steven Adams,University of Pittsburgh,/players/a/adamsst01.html,32,749,100,175,0,0,31,70,90,203,20,21,65,35,52,231,.571,,.443,23.4,7.2,6.3,0.6
13,2013,Kelly Olynyk,Gonzaga University,/players/o/olynyke01.html,101,1735,338,569,25,75,202,285,152,461,107,52,46,140,197,903,.594,.333,.709,17.2,8.9,4.6,1.1
14,2013,Shabazz Muhammad,University of California, Los Angeles,/players/m/muhamsh01.html,32,987,202,456,40,106,128,180,87,167,27,23,4,51,53,572,.443,.377,.711,30.8,17.9,5.2,0.8
