pick,year,name,university,link,g,mp,fg,fga,fg3,fg3a,ft,fta,orb,trb,ast,stl,blk,tov,pf,pts,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g
1,2000,Kenyon Martin,University of Cincinnati,/players/m/martike01.html,116,2042,513,875,2,9,251,432,-1,869,142,124,292,139,231,1279,.586,.222,.581,23.7,11.0,7.5,1.2
2,2000,Stromile Swift,Louisiana State University,/players/s/swiftst01.html,50,1332,253,452,8,33,157,256,-1,348,37,65,130,126,131,671,.560,.242,.613,26.6,13.4,7.0,0.7
4,2000,Marcus Fizer,Iowa State University,/players/f/fizerma01.html,97,2204,690,1349,21,72,429,611,-1,716,94,90,89,145,181,1830,.511,.292,.702,32.9,18.9,7.4,1.0
5,2000,Mike Miller,University of Florida,/players/m/millemi01.html,65,1735,290,601,78,226,204,284,-1,389,149,81,22,140,122,862,.483,.345,.718,26.7,13.3,6.0,2.3
6,2000,DerMarr Johnson,University of Cincinnati,/players/j/johnsde03.html,32,879,140,293,52,140,70,95,-1,123,45,31,30,46,64,402,.478,.371,.737,27.5,12.6,3.8,1.4
7,2000,Chris Mihm,University of Texas at Austin,/players/m/mihmch01.html,96,2041,498,1003,9,30,399,583,-1,945,55,36,264,159,180,1404,.497,.300,.684,31.4,14.6,9.8,0.6
8,2000,Jamal Crawford,University of Michigan,/players/c/crawfja01.html,17,577,105,255,33,101,40,51,-1,47,76,19,16,53,19,283,.412,.327,.784,33.9,16.6,2.8,4.5
9,2000,Joel Przybilla,University of Minnesota,/players/p/przybjo01.html,49,1351,201,340,0,0,85,163,-1,339,91,17,81,141,150,487,.591,-1,.521,27.6,9.9,6.9,1.9
10,2000,Keyon Dooling,University of Missouri,/players/d/doolike01.html,59,1659,223,543,67,198,203,277,-1,142,198,76,29,134,103,716,.411,.338,.733,28.1,12.1,2.4,3.4
11,2000,Jerome Moiso,University of California Los Angeles,/players/m/moisoje01.html,62,1661,301,608,5,22,135,220,-1,421,66,61,81,141,176,742,.495,.227,.614,26.8,12.0,6.8,1.1
