pick,year,name,university,link,g,mp,fg,fga,fg3,fg3a,ft,fta,orb,trb,ast,stl,blk,tov,pf,pts,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g
3,2003,Carmelo Anthony,Syracuse University,/players/a/anthoca01.html,35,1274,277,612,56,166,168,238,,349,77,55,30,77,77,778,.453,.337,.706,36.4,22.2,10.0,2.2
4,2003,Chris Bosh,Georgia Institute of Technology,/players/b/boshch01.html,31,960,168,300,22,46,127,174,,278,38,30,67,72,73,485,.560,.478,.730,31.0,15.6,9.0,1.2
5,2003,Dwyane Wade,Marquette University,/players/w/wadedw01.html,65,1993,474,959,32,96,301,404,,420,255,150,79,203,156,1281,.494,.333,.745,30.7,19.7,6.5,3.9
6,2003,Chris Kaman,Central Michigan University,/players/k/kamanch01.html,83,2179,446,733,0,0,358,502,,707,65,42,182,257,234,1250,.608,,.713,26.3,15.1,8.5,0.8
7,2003,Kirk Hinrich,University of Kansas,/players/h/hinriki01.html,141,4188,615,1247,235,546,288,371,,532,668,206,57,380,382,1753,.493,.430,.776,29.7,12.4,3.8,4.7
8,2003,T.J. Ford,University of Texas at Austin,/players/f/fordtj01.html,66,2178,282,695,23,101,266,332,,253,527,138,9,238,174,853,.406,.228,.801,33.0,12.9,3.8,8.0
9,2003,Mike Sweetney,Georgetown University,/players/s/sweetmi01.html,96,2781,608,1117,0,4,534,735,,887,174,101,180,236,224,1750,.544,.000,.727,29.0,18.2,9.2,1.8
10,2003,Jarvis Hayes,University of Georgia,/players/h/hayesja01.html,84,2636,575,1258,157,426,203,263,,422,127,111,39,146,189,1510,.457,.369,.772,31.4,18.0,5.0,1.5
12,2003,Nick Collison,University of Kansas,/players/c/collini01.html,142,3888,858,1526,23,64,358,574,,1143,257,155,243,,,2097,.562,.359,.624,27.4,14.8,8.0,1.8
13,2003,Marcus Banks,University of Nevada, Las Vegas,/players/b/banksma01.html,63,2160,381,770,65,197,312,427,,210,269,158,10,225,183,1139,.495,.330,.731,34.3,18.1,3.3,4.3
14,2003,Luke Ridnour,University of Oregon,/players/r/ridnolu01.html,96,3226,431,1005,203,522,334,389,,285,500,150,10,303,198,1399,.429,.389,.859,33.6,14.6,3.0,5.2
15,2003,Reece Gaines,University of Louisville,/players/g/gainere01.html,125,3946,632,1398,225,588,456,608,,424,475,192,28,332,316,1945,.452,.383,.750,31.6,15.6,3.4,3.8
16,2003,Troy Bell,Boston College,/players/b/belltr01.html,122,4357,761,1794,300,807,810,933,,493,427,272,35,351,284,2632,.424,.372,.868,35.7,21.6,4.0,3.5
18,2003,David West,Xavier University,/players/w/westda01.html,126,4210,726,1366,18,55,662,874,,1308,267,174,228,320,350,2132,.531,.327,.757,33.4,16.9,10.4,2.1
20,2003,Dahntay Jones,Duke University,/players/j/jonesda02.html,131,3907,636,1406,109,317,430,577,,598,181,133,81,278,398,1811,.452,.344,.745,29.8,13.8,4.6,1.4
24,2003,Brian Cook,University of Illinois at Urbana-Champaign,/players/c/cookbr01.html,132,3389,635,1246,94,277,384,484,,815,171,92,136,266,394,1748,.510,.339,.793,25.7,13.2,6.2,1.3
29,2003,Josh Howard,Wake Forest University,/players/h/howarjo01.html,127,3536,645,1335,109,309,362,511,,836,239,215,143,275,373,1761,.483,.353,.708,27.8,13.9,6.6,1.9
31,2003,Jason Kapono,University of California, Los Angeles,/players/k/kaponja01.html,127,4313,699,1491,317,710,380,458,,647,265,108,8,286,294,2095,.469,.446,.830,34.0,16.5,5.1,2.1
32,2003,Luke Walton,University of Arizona,/players/w/waltolu01.html,129,3514,420,985,65,229,274,400,,662,582,151,58,336,236,1179,.426,.284,.685,27.2,9.1,5.1,4.5
33,2003,Jerome Beasley,University of North Dakota,/players/b/beaslje01.html,123,1785,754,1462,47,100,333,465,,793,59,44,34,103,122,1888,.516,.470,.716,30.8,15.3,6.4,0.5
36,2003,Mario Austin,Mississippi State University,/players/a/austima01.html,91,,457,861,6,17,279,423,,570,103,64,53,,,1199,.531,.353,.660,,13.2,6.3,1.1
37,2003,Travis Hansen,Brigham Young University,/players/h/hansetr01.html,117,2356,483,1101,105,277,413,541,,574,262,63,37,169,243,1484,.439,.379,.763,27.4,12.7,4.9,2.2
38,2003,Steve Blake,University of Maryland,/players/b/blakest01.html,138,4313,374,932,182,478,209,271,,465,972,234,38,453,290,1139,.401,.381,.771,31.3,8.3,3.4,7.0
40,2003,Derrick Zimmerman,Mississippi State University,/players/z/zimmede01.html,127,3302,317,665,38,142,198,330,,418,513,205,89,,,870,.477,.268,.600,26.0,6.9,3.3,4.0
41,2003,Willie Green,University of Detroit Mercy,/players/g/greenwi01.html,124,3721,649,1409,120,341,361,477,,519,270,117,35,246,290,1779,.461,.352,.757,30.0,14.3,4.2,2.2
43,2003,Keith Bogans,University of Kentucky,/players/b/boganke01.html,135,3913,671,1535,254,743,327,475,,552,314,154,15,304,264,1923,.437,.342,.688,29.0,14.2,4.1,2.3
