pick,year,name,university,link,g,mp,fg,fga,fg3,fg3a,ft,fta,orb,trb,ast,stl,blk,tov,pf,pts,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g
47,2016,Jake Layman,University of Maryland,/players/l/laymaja01.html,141,3938,482,1083,198,547,274,361,159,674,156,123,113,204,272,1436,.445,.362,.759,27.9,10.2,4.8,1.1
49,2016,Michael Gbinije,Syracuse University,/players/g/gbinimi01.html,120,3061,409,900,159,411,200,313,101,377,310,154,31,194,257,1177,.454,.387,.639,25.5,9.8,3.1,2.6
50,2016,Georges Niang,Iowa State University,/players/n/niangge01.html,138,4110,849,1697,188,502,342,448,162,714,421,92,67,318,422,2228,.500,.375,.763,29.8,16.1,5.2,3.1
51,2016,Ben Bentil,Providence College,/players/b/bentibe01.html,69,1928,321,705,61,188,251,330,173,434,61,39,48,107,186,954,.455,.324,.761,27.9,13.8,6.3,0.9
52,2016,Joel Bolomboy,Weber State University,/players/b/bolomjo01.html,130,3743,492,931,36,97,464,651,412,1312,93,72,178,260,304,1484,.528,.371,.713,28.8,11.4,10.1,0.7
54,2016,Kay Felder,Oakland University,/players/f/feldeka01.html,101,3626,554,1300,143,415,514,625,67,436,788,164,19,350,287,1765,.426,.345,.822,35.9,17.5,4.3,7.8
55,2016,Marcus Paige,University of North Carolina,/players/p/paigema01.html,141,4570,605,1487,303,810,357,421,55,399,601,203,35,274,242,1870,.407,.374,.848,32.4,13.3,2.8,4.3
56,2016,Daniel Hamilton,University of Connecticut,/players/h/hamilda02.html,71,2247,298,777,93,276,142,184,70,588,298,71,28,166,152,831,.384,.337,.772,31.6,11.7,8.3,4.2
58,2016,Abdel Nader,Iowa State University,/players/n/naderab01.html,117,2845,432,1106,128,420,215,294,104,503,127,95,71,267,287,1207,.391,.305,.731,24.3,10.3,4.3,1.1
59,2016,Isaiah Cousins,University of Oklahoma,/players/c/cousiis01.html,137,3794,474,1162,176,432,202,284,113,529,365,157,36,254,276,1326,.408,.407,.711,27.7,9.7,3.9,2.7
60,2016,Tyrone Wallace,University of California,/players/w/wallaty01.html,129,4074,588,1417,118,404,329,537,130,674,436,139,55,279,328,1623,.415,.292,.613,31.6,12.6,5.2,3.4
