pick,year,name,university,link,g,mp,fg,fga,fg3,fg3a,ft,fta,orb,trb,ast,stl,blk,tov,pf,pts,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g
5,2001,Jason Richardson,Michigan State University,/players/r/richaja01.html,70,1522,261,519,57,149,96,148,,348,96,58,34,80,130,675,.503,.383,.649,21.7,9.6,5.0,1.4
6,2001,Shane Battier,Duke University,/players/b/battish01.html,146,3450,651,1303,246,592,436,561,,887,239,266,254,136,229,1984,.500,.416,.777,31.4,13.6,6.1,1.6
7,2001,Eddie Griffin,Seton Hall University,/players/g/griffed01.html,30,979,206,480,41,128,80,109,,323,49,26,133,67,71,533,.429,.320,.734,32.6,17.8,10.8,1.6
9,2001,Rodney White,University of North Carolina at Charlotte,/players/w/whitero02.html,28,865,188,386,33,95,114,160,,182,41,34,20,82,73,523,.487,.347,.713,30.9,18.7,6.5,1.5
10,2001,Joe Johnson,University of Arkansas,/players/j/johnsjo02.html,53,1605,302,648,63,155,128,170,,325,127,88,24,132,90,795,.466,.406,.753,30.3,15.0,6.1,2.4
11,2001,Kedrick Brown,Okaloosa-Walton Community College,/players/b/brownke01.html,62,,453,836,114,294,211,279,,597,208,,,,,1231,.542,.388,.756,,19.9,9.6,3.4
13,2001,Richard Jefferson,University of Arizona,/players/j/jefferi01.html,84,2211,335,684,60,163,214,298,,416,232,51,63,227,219,944,.490,.368,.718,26.3,11.2,5.0,2.8
14,2001,Troy Murphy,University of Notre Dame,/players/m/murphtr01.html,94,3298,680,1370,64,191,587,755,,924,158,113,126,284,274,2011,.496,.335,.777,35.1,21.4,9.8,1.7
15,2001,Steven Hunter,DePaul University,/players/h/huntest01.html,63,1552,252,430,0,2,120,200,,297,24,11,128,101,141,624,.586,.000,.600,24.6,9.9,4.7,0.4
16,2001,Kirk Haston,Indiana University,/players/h/hastoki01.html,96,2572,544,1150,26,71,292,407,,748,111,80,104,195,255,1406,.473,.366,.717,26.8,14.6,7.8,1.2
17,2001,Michael Bradley,Villanova University,/players/b/bradlmi01.html,100,1864,441,651,12,34,193,357,,540,133,64,102,152,161,1087,.677,.353,.541,27.4,10.9,5.4,1.3
18,2001,Jason Collins,Stanford University,/players/c/collija04.html,73,1591,262,428,12,27,249,348,,484,55,34,89,108,162,785,.612,.444,.716,22.1,10.8,6.6,0.8
19,2001,Zach Randolph,Michigan State University,/players/r/randoza01.html,33,654,138,235,0,1,80,126,,221,34,24,22,53,60,356,.587,.000,.635,19.8,10.8,6.7,1.0
20,2001,Brendan Haywood,University of North Carolina,/players/h/haywobr01.html,141,3007,541,849,0,0,329,557,,839,118,47,304,200,301,1411,.637,,.591,29.2,10.0,6.0,0.8
21,2001,Joseph Forte,University of North Carolina,/players/f/fortejo01.html,69,2340,479,1055,111,302,221,273,,399,210,121,27,169,138,1290,.454,.368,.810,33.9,18.7,5.8,3.0
22,2001,Jeryl Sasser,Southern Methodist University,/players/s/sasseje01.html,117,3117,674,1711,133,475,511,720,,976,369,197,67,238,187,1992,.394,.280,.710,35.0,17.0,8.3,3.2
23,2001,Brandon Armstrong,Pepperdine University,/players/a/armstbr01.html,65,1974,430,980,142,363,173,210,,209,96,110,14,126,168,1175,.439,.391,.824,30.4,18.1,3.2,1.5
25,2001,Gerald Wallace,University of Alabama,/players/w/wallage01.html,36,824,126,288,11,63,88,155,,216,55,42,37,86,87,351,.438,.175,.568,22.9,9.8,6.0,1.5
26,2001,Samuel Dalembert,Seton Hall University,/players/d/dalemsa01.html,59,1265,175,326,0,0,69,128,,345,19,22,167,117,187,419,.537,,.539,21.4,7.1,5.8,0.3
