pick,year,name,university,link,g,mp,fg,fga,fg3,fg3a,ft,fta,orb,trb,ast,stl,blk,tov,pf,pts,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g
1,2000,Kenyon Martin,University of Cincinnati,/players/m/martike01.html,116,2042,513,875,2,9,251,432,,869,142,124,292,139,231,1279,.586,.222,.581,23.7,11.0,7.5,1.2
2,2000,Stromile Swift,Louisiana State University,/players/s/swiftst01.html,50,1332,253,452,8,33,157,256,,348,37,65,130,126,131,671,.560,.242,.613,26.6,13.4,7.0,0.7
4,2000,Marcus Fizer,Iowa State University,/players/f/fizerma01.html,97,2204,690,1349,21,72,429,611,,716,94,90,89,145,181,1830,.511,.292,.702,32.9,18.9,7.4,1.0
5,2000,Mike Miller,University of Florida,/players/m/millemi01.html,65,1735,290,601,78,226,204,284,,389,149,81,22,140,122,862,.483,.345,.718,26.7,13.3,6.0,2.3
6,2000,DerMarr Johnson,University of Cincinnati,/players/j/johnsde03.html,32,879,140,293,52,140,70,95,,123,45,31,30,46,64,402,.478,.371,.737,27.5,12.6,3.8,1.4
7,2000,Chris Mihm,University of Texas at Austin,/players/m/mihmch01.html,96,2041,498,1003,9,30,399,583,,945,55,36,264,159,180,1404,.497,.300,.684,31.4,14.6,9.8,0.6
8,2000,Jamal Crawford,University of Michigan,/players/c/crawfja01.html,17,577,105,255,33,101,40,51,,47,76,19,16,53,19,283,.412,.327,.784,33.9,16.6,2.8,4.5
9,2000,Joel Przybilla,University of Minnesota,/players/p/przybjo01.html,49,1351,201,340,0,0,85,163,,339,91,17,81,141,150,487,.591,,.521,27.6,9.9,6.9,1.9
10,2000,Keyon Dooling,University of Missouri,/players/d/doolike01.html,59,1659,223,543,67,198,203,277,,142,198,76,29,134,103,716,.411,.338,.733,28.1,12.1,2.4,3.4
11,2000,Jerome Moiso,University of California, Los Angeles,/players/m/moisoje01.html,62,1661,301,608,5,22,135,220,,421,66,61,81,141,176,742,.495,.227,.614,26.8,12.0,6.8,1.1
12,2000,Etan Thomas,Syracuse University,/players/t/thomaet01.html,122,2261,495,825,0,0,350,585,,847,51,85,424,148,242,1340,.600,,.598,26.0,11.0,6.9,0.4
13,2000,Courtney Alexander,California State University, Fresno,/players/a/alexaco02.html,112,3456,805,1767,166,458,336,438,,441,249,128,21,220,246,2112,.456,.362,.767,30.9,18.9,3.9,2.2
14,2000,Mateen Cleaves,Michigan State University,/players/c/cleavma01.html,123,2755,540,1331,143,457,318,431,,256,816,195,16,353,194,1541,.406,.313,.738,29.6,12.5,2.1,6.6
15,2000,Jason Collier,Georgia Institute of Technology,/players/c/collija02.html,97,2602,479,1045,69,187,318,447,,693,118,60,110,256,243,1345,.458,.369,.711,29.6,13.9,7.1,1.2
17,2000,Desmond Mason,Oklahoma State University,/players/m/masonde01.html,129,2921,616,1268,130,349,340,468,,795,147,158,92,175,196,1702,.486,.372,.726,29.2,13.2,6.2,1.1
18,2000,Quentin Richardson,DePaul University,/players/r/richaqu01.html,64,2190,405,893,117,317,220,302,,652,104,59,17,138,144,1147,.454,.369,.728,34.2,17.9,10.2,1.6
19,2000,Jamaal Magloire,University of Kentucky,/players/m/magloja01.html,145,2272,394,784,0,0,276,434,,789,62,68,268,201,290,1064,.503,,.636,21.2,7.3,5.4,0.4
20,2000,Speedy Claxton,Hofstra University,/players/c/claxtsp01.html,119,2975,705,1505,65,202,540,722,,566,660,288,33,264,230,2015,.468,.322,.748,33.8,16.9,4.8,5.5
21,2000,Morris Peterson,Michigan State University,/players/p/petermo01.html,137,2573,562,1161,146,387,318,426,,645,129,119,42,170,238,1588,.484,.377,.746,23.4,11.6,4.7,0.9
