Player,Season,School,Conf,G,MP,FG,FGA,FGP,2P,2PA,2PP,3P,3PA,3PP,FT,FTA,FTP,TRB,AST,STL,BLK,TOV,PF,PTS,VORP
"Jason Richardson","1999-00","Michigan State","Big Ten","37","582","5.4","10.8","0.503","4.9","8.9","0.546","0.5","1.9","0.296","1.6","2.9","0.548","10.5","1.6","1.4","0.4","2.6","3.8","13.0","24.4"
"Jason Richardson","2000-01","Michigan State","Big Ten","33","940","7.7","15.4","0.503","5.7","10.2","0.554","2.1","5.2","0.402","3.1","4.5","0.689","8.3","3.1","1.6","1.2","1.8","3.1","20.7","24.4"
"Joe Johnson","1999-00","Arkansas","SEC","23","732","7.7","16.5","0.464","6.1","12.3","0.496","1.5","4.2","0.368","3.3","4.3","0.759","7.2","2.7","2.5","0.7","3.4","2.4","20.1","27.0"
"Joe Johnson","2000-01","Arkansas","SEC","30","873","7.4","15.9","0.468","5.8","12.2","0.476","1.6","3.6","0.443","3.1","4.2","0.747","8.8","3.5","2.0","0.5","3.2","2.1","19.6","27.0"
"Zach Randolph","2000-01","Michigan State","Big Ten","33","654","8.4","14.4","0.587","8.4","14.3","0.590","0.0","0.1","0.000","4.9","7.7","0.635","13.5","2.1","1.5","1.3","3.2","3.7","21.8","13.5"
"Gerald Wallace","2000-01","Alabama","SEC","36","824","6.1","14.0","0.438","5.6","10.9","0.511","0.5","3.1","0.175","4.3","7.5","0.568","10.5","2.7","2.0","1.8","4.2","4.2","17.0","27.3"
"Gilbert Arenas","1999-00","Arizona","Pac-10","34","1093","6.8","15.1","0.453","5.5","10.4","0.527","1.4","4.8","0.292","4.1","5.4","0.750","5.1","2.6","2.6","0.3","3.2","3.0","19.1","24.1"
"Gilbert Arenas","2000-01","Arizona","Pac-10","36","1044","8.0","16.6","0.479","5.3","10.3","0.519","2.6","6.4","0.416","3.7","5.1","0.724","5.0","3.2","2.5","0.3","3.9","3.1","22.3","24.1"
"Jay Williams","1999-00","Duke","ACC","34","1157","6.2","14.8","0.419","3.7","7.6","0.480","2.5","7.1","0.354","2.1","3.1","0.685","4.9","7.6","2.8","0.2","4.8","3.0","17.0","-0.1"
"Jay Williams","2000-01","Duke","ACC","39","1240","9.2","19.5","0.473","4.9","9.5","0.520","4.3","10.0","0.427","4.5","6.8","0.659","4.1","7.6","2.5","0.2","5.0","2.8","27.1","-0.1"
"Jay Williams","2001-02","Duke","ACC","35","1175","8.5","18.6","0.457","4.8","9.0","0.536","3.7","9.6","0.383","4.8","7.0","0.676","4.2","6.4","2.6","0.1","4.5","2.7","25.4","-0.1"
"Mike Dunleavy Jr.","1999-00","Duke","ACC","30","724","5.4","11.7","0.460","3.5","6.3","0.553","1.9","5.4","0.351","2.5","3.4","0.738","7.1","2.8","1.8","0.8","3.4","2.9","15.1","15.9"
"Mike Dunleavy Jr.","2000-01","Duke","ACC","39","1137","6.5","13.6","0.474","4.5","8.3","0.540","2.0","5.4","0.373","2.4","3.4","0.694","7.8","3.6","1.9","0.5","2.8","2.8","17.3","15.9"
"Mike Dunleavy Jr.","2001-02","Duke","ACC","35","1133","7.7","15.9","0.483","4.6","7.7","0.596","3.1","8.2","0.378","2.9","4.2","0.681","8.9","2.5","2.8","0.9","2.2","2.8","21.4","15.9"
"Drew Gooden","1999-00","Kansas","Big 12","33","686","8.3","18.5","0.451","8.0","17.6","0.458","0.3","0.9","0.313","3.5","5.3","0.659","14.5","2.1","1.4","1.5","4.1","4.3","20.5","2.3"
"Drew Gooden","2000-01","Kansas","Big 12","28","761","8.7","16.9","0.516","8.5","16.4","0.519","0.2","0.5","0.400","5.5","8.5","0.648","12.3","2.5","0.8","1.5","3.8","4.0","23.2","2.3"
"Drew Gooden","2001-02","Kansas","Big 12","37","1119","10.2","20.2","0.504","9.8","18.9","0.519","0.4","1.3","0.278","5.5","7.3","0.755","15.1","2.6","2.3","1.9","3.9","3.3","26.2","2.3"
"Caron Butler","2000-01","UConn","Big East","29","950","6.4","14.6","0.435","5.8","12.7","0.455","0.6","1.9","0.304","5.4","7.2","0.754","9.3","3.7","2.7","0.4","2.9","3.2","18.7","15.9"
"Caron Butler","2001-02","UConn","Big East","34","1223","8.3","17.0","0.486","7.3","14.6","0.500","1.0","2.5","0.400","5.1","6.5","0.779","8.4","3.3","2.3","0.4","3.2","2.5","22.6","15.9"
"Carlos Boozer","1999-00","Duke","ACC","34","807","8.1","13.2","0.614","8.1","13.2","0.614","0.0","0.0",NULL,"5.7","7.7","0.742","10.6","1.8","1.8","1.1","2.7","4.5","22.0","22.1"
"Carlos Boozer","2000-01","Duke","ACC","32","820","7.8","12.9","0.604","7.8","12.9","0.604","0.0","0.0",NULL,"5.1","7.1","0.719","10.1","2.0","1.4","1.4","1.9","4.4","20.7","22.1"
