Player,Season,School,Conf,G,MP,FG,FGA,FGP,2P,2PA,2PP,3P,3PA,3PP,FT,FTA,FTP,TRB,AST,STL,BLK,TOV,PF,PTS,VORP
"Dickey Simpkins","1992-93","Providence","Big East","33","976","5.0","11.1","0.450","5.0","11.0","0.451","0.0","0.1","0.333","4.3","7.3","0.596","8.9","1.7","1.0","0.7","3.4","3.4","14.4","-2.3"
"Dickey Simpkins","1993-94","Providence","Big East","30","877","5.9","11.4","0.516","5.7","11.0","0.523","0.1","0.4","0.333","4.3","6.2","0.686","8.6","1.7","1.0","1.0","2.6","2.9","16.2","-2.3"
"Bill Curley","1990-91","Boston College","Big East","30","873","6.5","11.9","0.542","6.5","11.8","0.549","0.0","0.1","0.000","4.4","6.4","0.691","9.4","1.7","1.6","0.3","3.5","4.7","17.3","-0.6"
"Bill Curley","1991-92","Boston College","Big East","31","1051","7.1","12.3","0.577","7.1","12.3","0.579","0.0","0.0","0.000","6.8","8.8","0.774","9.5","1.1","1.0","1.0","3.3","4.4","21.0","-0.6"
"Bill Curley","1992-93","Boston College","Big East","31","1052","6.9","11.9","0.580","6.9","11.9","0.580","0.0","0.0",NULL,"4.9","5.8","0.849","8.9","1.4","1.2","1.1","2.6","3.5","18.7","-0.6"
"Bill Curley","1993-94","Boston College","Big East","34","1140","8.2","14.7","0.557","8.2","14.6","0.559","0.0","0.0","0.000","7.5","9.5","0.793","10.7","1.9","0.9","1.0","2.6","3.4","23.9","-0.6"
"Wesley Person","1990-91","Auburn","SEC","26","857","7.1","15.2","0.471","5.2","9.7","0.536","2.0","5.5","0.356","2.4","3.2","0.765","6.9","2.2","1.6","1.4","2.3","2.3","18.7","13.8"
"Wesley Person","1991-92","Auburn","SEC","27","955","8.7","17.2","0.506","5.8","11.3","0.515","2.9","5.9","0.489","2.2","3.1","0.726","7.7","2.3","1.2","1.2","2.5","1.9","22.5","13.8"
"Wesley Person","1992-93","Auburn","SEC","27","957","8.1","14.6","0.556","5.7","9.4","0.607","2.4","5.2","0.464","2.5","3.3","0.772","8.0","4.3","0.9","0.7","2.9","1.9","21.2","13.8"
"Wesley Person","1993-94","Auburn","SEC","28","1006","8.6","17.8","0.484","4.9","9.5","0.521","3.7","8.3","0.443","3.7","5.1","0.734","7.1","3.1","1.1","0.4","3.3","1.8","24.7","13.8"
"Monty Williams","1989-90","Notre Dame","Ind","29","588","5.6","11.7","0.483","5.5","11.0","0.500","0.1","0.7","0.200","3.7","5.0","0.740","7.3","2.1","1.0","1.1","3.3","4.3","15.1","0.5"
"Monty Williams","1992-93","Notre Dame","Ind","27","942","7.5","16.3","0.461","6.5","13.2","0.490","1.1","3.1","0.338","5.1","6.5","0.791","10.7","1.7","1.3","0.8","3.7","2.8","21.2","0.5"
"Monty Williams","1993-94","Notre Dame","Ind","29","1000","9.5","18.6","0.511","8.2","15.4","0.531","1.3","3.1","0.410","5.7","8.2","0.698","9.6","2.7","1.6","0.6","4.0","3.0","26.0","0.5"
"Greg Minor","1991-92","Louisville","Metro","30","831","5.4","11.5","0.473","5.0","9.4","0.526","0.5","2.1","0.233","2.6","3.6","0.733","7.4","2.6","1.9","0.2","2.0","2.1","14.0","-0.3"
"Greg Minor","1992-93","Louisville","Metro","31","1036","6.0","11.4","0.527","4.4","7.7","0.573","1.6","3.7","0.433","3.2","4.3","0.750","6.6","3.4","1.2","0.5","2.0","1.6","16.9","-0.3"
"Greg Minor","1993-94","Louisville","Metro","34","1176","6.1","11.9","0.513","4.7","7.8","0.596","1.4","4.0","0.353","2.4","3.3","0.729","7.1","2.9","1.9","0.5","1.8","2.3","16.0","-0.3"
"Charlie Ward","1990-91","Florida State","Metro","30","715","4.5","10.0","0.455","3.7","7.3","0.508","0.8","2.7","0.313","3.5","4.9","0.713","5.0","5.8","4.0","0.4","3.4","3.0","13.4","13.3"
"Charlie Ward","1991-92","Florida State","ACC","28","841","3.4","6.9","0.497","2.4","4.6","0.515","1.0","2.3","0.458","1.7","3.1","0.530","4.3","5.8","3.6","0.3","3.5","3.2","9.6","13.3"
"Charlie Ward","1992-93","Florida State","ACC","17","557","3.5","7.6","0.462","2.4","4.0","0.589","1.1","3.6","0.320","1.3","1.9","0.667","3.2","6.7","3.4","0.4","2.6","2.3","9.5","13.3"
"Charlie Ward","1993-94","Florida State","ACC","16","574","4.3","11.6","0.365","2.8","5.9","0.476","1.5","5.8","0.253","1.7","2.8","0.625","2.7","5.4","3.1","0.1","2.9","2.5","11.7","13.3"
"Brooks Thompson","1989-90","Texas A&M","SWC","31","639","5.9","15.8","0.377","3.3","7.4","0.441","2.7","8.4","0.321","1.6","2.4","0.641","4.6","4.3","2.4","0.1","1.8","5.0","16.2","0.1"
"Brooks Thompson","1990-91","Texas A&M","SWC","29","1006","6.0","12.7","0.470","3.7","6.8","0.541","2.3","5.8","0.388","2.5","3.4","0.744","3.6","6.6","2.4","0.1","2.4","3.1","16.7","0.1"
"Brooks Thompson","1992-93","Oklahoma State","Big 8","29","923","6.1","13.3","0.456","3.5","6.3","0.548","2.6","7.0","0.373","3.6","4.8","0.755","4.9","6.2","3.0","0.1","4.6","3.4","18.3","0.1"
"Brooks Thompson","1993-94","Oklahoma State","Big 8","34","1175","6.1","13.7","0.446","2.3","5.7","0.411","3.7","7.9","0.472","3.6","4.5","0.789","4.7","6.6","3.4","0.1","3.3","2.3","19.5","0.1"
"Antonio Lang","1992-93","Duke","ACC","31","808","4.0","7.6","0.523","4.0","7.5","0.526","0.0","0.0","0.000","2.7","4.2","0.655","8.5","1.2","0.9","1.5","2.8","4.0","10.6","-0.3"
"Antonio Lang","1993-94","Duke","ACC","34","1023","6.0","10.2","0.588","6.0","10.1","0.593","0.0","0.1","0.000","4.6","6.4","0.724","7.2","1.4","0.6","1.5","2.9","3.2","16.6","-0.3"
"Howard Eisley","1990-91","Boston College","Big East","30","1011","3.8","10.4","0.360","2.7","7.5","0.363","1.0","2.9","0.351","3.2","4.3","0.750","3.1","4.0","1.8","0.2","3.3","3.3","11.8","-1.0"
"Howard Eisley","1991-92","Boston College","Big East","31","1071","4.4","9.0","0.488","3.0","6.2","0.485","1.4","2.8","0.493","3.3","4.4","0.746","4.1","5.0","2.3","0.1","3.8","3.7","13.5","-1.0"
"Howard Eisley","1992-93","Boston College","Big East","31","1162","4.5","10.2","0.443","3.0","6.6","0.458","1.5","3.6","0.413","4.2","5.0","0.834","3.7","5.3","1.3","0.2","3.2","2.9","14.7","-1.0"
"Howard Eisley","1993-94","Boston College","Big East","34","1203","6.2","12.9","0.476","3.1","6.7","0.468","3.0","6.3","0.484","2.8","3.5","0.790","3.9","5.2","1.7","0.1","2.9","3.1","18.1","-1.0"
"Jim McIlvaine","1992-93","Marquette","GMWC","28","532","8.3","14.4","0.578","8.3","14.4","0.578","0.0","0.0",NULL,"6.4","8.9","0.714","10.1","1.6","0.5","5.9","3.7","5.6","23.1","2.8"
"Jim McIlvaine","1993-94","Marquette","GMWC","33","946","7.2","13.6","0.528","7.2","13.6","0.528","0.0","0.0",NULL,"4.6","6.9","0.665","11.5","1.8","0.4","6.0","2.2","3.7","19.0","2.8"
"Derrick Alston","1991-92","Duquesne","A-10","29","918","6.7","12.1","0.556","6.7","12.0","0.558","0.0","0.0","0.000","3.6","6.8","0.526","9.8","1.9","1.4","2.6","4.0","4.1","17.0","-0.1"
"Derrick Alston","1992-93","Duquesne","MW Coll","28","960","8.9","15.8","0.563","8.9","15.8","0.562","0.0","0.0","1.000","5.3","9.3","0.574","10.9","1.3","1.6","2.5","3.6","4.2","23.2","-0.1"
"Derrick Alston","1993-94","Duquesne","A-10","30","1080","9.1","15.7","0.578","9.1","15.7","0.579","0.0","0.0","0.000","5.5","9.2","0.601","8.1","1.5","1.8","2.0","3.5","3.6","23.7","-0.1"
"Michael Smith","1991-92","Providence","Big East","31","876","4.9","10.0","0.495","4.9","9.9","0.498","0.0","0.0","0.000","5.3","9.2","0.579","14.6","1.9","1.5","2.3","3.2","4.1","15.2","8.7"
"Michael Smith","1992-93","Providence","Big East","33","976","5.5","10.0","0.556","5.5","10.0","0.556","0.0","0.0",NULL,"4.9","8.9","0.546","15.4","1.6","1.6","1.3","3.0","3.8","15.9","8.7"
"Michael Smith","1993-94","Providence","Big East","30","872","6.6","10.9","0.605","6.6","10.9","0.608","0.0","0.0","0.000","4.6","6.4","0.714","15.8","1.1","1.5","1.1","2.0","4.1","17.8","8.7"
"Dontonio Wingfield","1993-94","Cincinnati","GMWC","29","834","7.8","18.4","0.422","5.7","13.2","0.429","2.1","5.2","0.404","4.7","7.0","0.669","12.5","2.8","1.9","0.6","3.9","4.4","22.3","0.2"
"Darrin Hancock","1992-93","Kansas","Big 8","34","703","5.9","10.8","0.542","5.9","10.8","0.545","0.0","0.1","0.000","2.8","4.3","0.658","8.8","2.6","2.3","0.4","2.3","3.4","14.6","-0.5"
"Anthony Miller","1992-93","Michigan State","Big Ten","27","474","6.4","10.5","0.613","6.3","10.4","0.610","0.1","0.1","1.000","2.2","4.1","0.542","11.7","1.0","0.7","1.7","2.4","5.0","15.1","-0.2"
"Anthony Miller","1993-94","Michigan State","Big Ten","32","910","7.1","10.9","0.651","7.1","10.9","0.653","0.0","0.0","0.000","3.4","6.0","0.574","12.6","1.3","1.1","1.3","3.1","3.6","17.7","-0.2"
"Jeff Webster","1990-91","Oklahoma","Big 8","35","918","11.0","19.5","0.565","11.0","19.4","0.567","0.0","0.1","0.000","5.8","7.3","0.802","8.4","0.3","0.7","1.0","2.2","5.0","27.9","-0.1"
"Jeff Webster","1992-93","Oklahoma","Big 8","32","942","9.2","18.8","0.491","9.1","18.4","0.494","0.1","0.4","0.333","3.9","5.2","0.740","7.9","0.7","1.1","0.4","2.4","4.2","22.4","-0.1"
"Jeff Webster","1993-94","Oklahoma","Big 8","28","974","10.8","21.1","0.515","10.7","20.5","0.522","0.1","0.5","0.231","5.4","7.0","0.776","8.9","0.8","1.1","0.8","2.3","3.2","27.2","-0.1"
"Shawnelle Scott","1992-93","St. John's (NY)","Big East","29","830","8.1","13.9","0.585","8.1","13.8","0.589","0.0","0.1","0.000","2.9","5.6","0.517","10.8","1.6","1.9","0.7","2.6","4.8","19.2","-0.2"
"Shawnelle Scott","1993-94","St. John's (NY)","Big East","22","727","7.8","14.6","0.530","7.8","14.6","0.532","0.0","0.1","0.000","3.8","6.4","0.590","11.2","1.5","1.4","1.5","2.5","3.6","19.3","-0.2"
"Dwayne Morton","1991-92","Louisville","Metro","30","802","7.7","13.4","0.578","7.1","12.0","0.589","0.6","1.3","0.481","4.2","6.2","0.672","5.5","1.8","1.6","1.4","2.8","4.0","20.3","-0.3"
"Dwayne Morton","1992-93","Louisville","Metro","31","969","7.3","13.8","0.531","5.2","9.9","0.531","2.1","4.0","0.531","3.8","5.2","0.738","6.0","2.8","1.8","1.2","3.1","3.2","20.6","-0.3"
"Dwayne Morton","1993-94","Louisville","Metro","34","1041","7.0","14.6","0.480","5.2","10.1","0.517","1.8","4.5","0.398","4.1","5.8","0.720","5.5","2.8","1.4","0.7","2.6","3.1","20.0","-0.3"
"Voshon Lenard","1991-92","Minnesota","Big Ten","32","868","6.4","15.2","0.421","4.1","8.6","0.473","2.4","6.6","0.354","3.8","4.7","0.812","5.4","4.0","2.4","0.5","3.2","4.0","18.9","6.7"
"Voshon Lenard","1992-93","Minnesota","Big Ten","31","883","8.7","18.1","0.481","6.1","10.9","0.556","2.6","7.2","0.367","4.0","5.0","0.802","5.1","3.7","2.2","0.4","2.5","3.4","24.1","6.7"
"Voshon Lenard","1993-94","Minnesota","Big Ten","33","1029","8.5","18.0","0.472","5.1","9.8","0.522","3.3","8.1","0.411","4.0","4.7","0.844","4.8","2.9","1.7","0.5","2.6","3.7","24.3","6.7"
"Voshon Lenard","1994-95","Minnesota","Big Ten","31","992","7.0","17.0","0.412","3.8","7.2","0.522","3.3","9.8","0.332","4.3","5.7","0.759","5.4","3.2","1.2","0.4","2.0","2.9","21.6","6.7"
"Jamie Watson","1990-91","South Carolina","Metro","33","651","5.0","11.9","0.420","4.4","9.2","0.473","0.6","2.6","0.233","1.5","2.7","0.568","5.1","4.7","2.0","0.8","2.5","2.5","12.1","0.3"
"Jamie Watson","1991-92","South Carolina","SEC","28","830","4.4","10.1","0.440","4.2","8.9","0.470","0.2","1.2","0.208","1.1","2.0","0.524","6.1","3.9","1.7","0.5","3.3","2.6","10.2","0.3"
"Jamie Watson","1992-93","South Carolina","SEC","27","910","7.0","15.2","0.461","6.6","13.0","0.507","0.4","2.2","0.184","3.1","4.8","0.642","6.0","3.2","1.8","1.0","3.5","2.9","17.5","0.3"
"Jamie Watson","1993-94","South Carolina","SEC","27","924","8.0","17.4","0.459","6.8","13.2","0.511","1.3","4.2","0.296","3.9","5.8","0.674","8.2","2.9","1.9","0.4","2.6","3.0","21.2","0.3"
"Charles Claxton","1992-93","Georgia","SEC","29","637","8.4","14.8","0.564","8.4","14.8","0.564","0.0","0.0",NULL,"4.3","8.9","0.482","12.1","0.8","1.1","3.0","3.3","5.3","21.0","0.0"
"Charles Claxton","1993-94","Georgia","SEC","30","728","7.3","13.1","0.552","7.3","13.1","0.552","0.0","0.0",NULL,"3.5","8.2","0.423","13.0","1.0","0.8","3.2","3.1","5.2","18.0","0.0"
"Charles Claxton","1994-95","Georgia","SEC","28","769","6.4","11.8","0.549","6.3","11.2","0.560","0.2","0.5","0.300","4.6","8.6","0.536","11.5","1.1","1.4","4.9","3.0","4.6","17.7","0.0"
"Lawrence Funderburke","1992-93","Ohio State","Big Ten","28","878","8.5","15.9","0.533","8.4","15.8","0.535","0.0","0.1","0.333","3.8","6.2","0.622","8.7","1.5","1.0","2.5","2.6","2.2","20.8","-0.2"
"Lawrence Funderburke","1993-94","Ohio State","Big Ten","29","847","8.9","16.3","0.545","8.8","16.0","0.550","0.1","0.3","0.286","3.0","5.0","0.594","9.0","1.3","0.5","1.0","2.4","2.4","20.8","-0.2"
"Anthony Goldwire","1992-93","Houston","SWC","30","1110","5.0","11.3","0.444","4.1","8.1","0.507","0.9","3.2","0.284","4.5","5.7","0.785","3.3","6.1","3.7","0.2","2.1","2.5","15.4","-1.6"
"Anthony Goldwire","1993-94","Houston","SWC","27","995","5.8","14.7","0.393","4.3","9.8","0.440","1.5","4.9","0.301","5.5","6.9","0.807","4.0","6.6","2.3","0.0","3.9","2.7","18.6","-1.6"
"Bryant Reeves","1992-93","Oklahoma State","Big 8","29","944","8.9","14.3","0.621","8.9","14.2","0.622","0.0","0.1","0.500","6.1","9.4","0.650","12.3","1.5","0.6","1.6","3.0","3.9","24.0","-1.8"
"Bryant Reeves","1993-94","Oklahoma State","Big 8","34","1170","9.0","15.4","0.585","9.0","15.4","0.587","0.0","0.0","0.000","6.3","10.6","0.595","11.2","1.8","0.9","2.4","3.1","3.6","24.4","-1.8"
"Bryant Reeves","1994-95","Oklahoma State","Big 8","37","1288","9.0","15.3","0.586","9.0","15.2","0.592","0.0","0.2","0.000","6.8","9.6","0.706","10.9","0.9","0.6","1.9","3.4","3.7","24.8","-1.8"
"Damon Stoudamire","1991-92","Arizona","Pac-10","30","540","5.6","12.4","0.455","3.6","7.3","0.490","2.1","5.1","0.406","2.7","3.6","0.771","4.8","5.6","1.6","0.2","3.3","3.2","16.1","15.4"
"Damon Stoudamire","1992-93","Arizona","Pac-10","28","870","4.6","10.4","0.438","2.8","5.7","0.484","1.8","4.7","0.382","3.3","4.2","0.791","5.3","7.3","2.1","0.3","3.8","2.9","14.2","15.4"
"Damon Stoudamire","1993-94","Arizona","Pac-10","35","1164","7.5","16.6","0.448","4.3","7.5","0.566","3.2","9.1","0.351","3.8","4.8","0.800","5.4","7.1","1.9","0.1","3.9","2.8","22.0","15.4"
"Damon Stoudamire","1994-95","Arizona","Pac-10","30","1092","8.1","17.1","0.476","4.0","8.2","0.489","4.1","8.8","0.465","4.7","5.7","0.826","4.7","8.1","1.9","0.0","5.1","2.2","25.1","15.4"
"Shawn Respert","1991-92","Michigan State","Big Ten","30","953","7.3","14.4","0.503","4.7","8.9","0.533","2.5","5.5","0.455","2.9","3.3","0.872","2.7","2.6","1.4","0.1","3.3","2.2","19.9","-0.9"
"Shawn Respert","1992-93","Michigan State","Big Ten","28","959","8.0","16.6","0.481","5.5","10.8","0.510","2.5","5.8","0.429","5.0","5.8","0.856","4.6","3.0","1.0","0.2","3.3","2.3","23.5","-0.9"
"Shawn Respert","1993-94","Michigan State","Big Ten","32","1076","10.1","20.9","0.484","6.7","13.3","0.504","3.4","7.6","0.449","5.3","6.3","0.840","4.7","3.0","1.6","0.2","3.9","2.3","28.9","-0.9"
"Shawn Respert","1994-95","Michigan State","Big Ten","28","940","9.7","20.6","0.473","4.7","9.9","0.472","5.1","10.7","0.474","5.9","6.8","0.869","4.7","3.6","1.6","0.0","3.4","3.1","30.5","-0.9"
"Ed O’Bannon","1991-92","UCLA","Pac-10","23","287","4.5","10.7","0.416","4.2","9.6","0.435","0.3","1.1","0.250","2.4","3.8","0.630","9.8","1.7","1.0","0.8","2.6","5.0","11.6","-1.0"
"Ed O’Bannon","1992-93","UCLA","Pac-10","33","1099","7.6","14.0","0.539","6.9","12.6","0.549","0.7","1.5","0.450","4.2","6.0","0.707","8.4","2.0","1.5","1.2","3.1","2.9","20.0","-1.0"
"Ed O’Bannon","1993-94","UCLA","Pac-10","28","961","8.0","16.4","0.484","7.3","14.1","0.516","0.7","2.3","0.286","4.6","6.2","0.745","10.2","2.5","1.4","1.2","3.0","2.5","21.2","-1.0"
"Ed O’Bannon","1994-95","UCLA","Pac-10","33","1130","8.7","16.4","0.533","6.8","11.9","0.571","1.9","4.5","0.433","4.4","5.6","0.785","9.7","2.9","2.3","0.9","2.9","2.6","23.8","-1.0"
"Kurt Thomas","1990-91","Texas Christian","SWC","28","42","7.6","17.1","0.444","7.6","15.2","0.500","0.0","1.9","0.000","6.7","13.3","0.500","12.4","1.9","1.0","1.9","6.7","10.5","21.9","13.2"
"Kurt Thomas","1993-94","Texas Christian","SWC","27","805","11.1","21.9","0.509","10.5","19.6","0.538","0.6","2.3","0.261","4.9","7.6","0.645","13.0","2.5","1.3","3.4","3.6","5.4","27.7","13.2"
"Kurt Thomas","1994-95","Texas Christian","SWC","27","872","13.2","24.1","0.548","13.1","23.6","0.554","0.1","0.6","0.250","9.3","13.0","0.714","18.0","1.5","2.3","3.0","3.5","4.9","35.8","13.2"
"Gary Trent","1992-93","Ohio","MAC","27","892","8.7","13.4","0.651","8.7","13.3","0.653","0.0","0.0","0.000","5.7","8.1","0.696","11.2","1.9","0.5","1.2","3.1","2.3","23.0","1.7"
"Gary Trent","1993-94","Ohio","MAC","33","1119","11.0","19.2","0.576","10.7","18.0","0.596","0.3","1.2","0.273","7.5","10.4","0.722","13.5","2.3","1.0","1.9","4.5","2.8","29.9","1.7"
"Gary Trent","1994-95","Ohio","MAC","33","1134","10.3","19.6","0.527","10.1","18.4","0.547","0.3","1.2","0.229","5.7","9.0","0.642","14.9","2.8","0.7","0.9","4.1","2.6","26.7","1.7"
"Cherokee Parks","1992-93","Duke","ACC","32","899","7.2","11.0","0.652","7.2","11.0","0.652","0.0","0.0",NULL,"3.2","4.4","0.720","9.8","0.6","1.1","2.9","2.5","3.0","17.5","-0.1"
"Cherokee Parks","1993-94","Duke","ACC","34","1038","7.2","13.4","0.536","7.1","12.7","0.555","0.1","0.7","0.176","4.4","5.7","0.772","10.9","1.2","1.4","2.9","2.2","3.0","18.9","-0.1"
"Cherokee Parks","1994-95","Duke","ACC","31","1091","8.1","16.2","0.501","7.0","13.1","0.534","1.1","3.1","0.365","4.2","5.4","0.776","10.6","1.6","1.0","2.0","2.3","2.5","21.6","-0.1"
"Corliss Williamson","1992-93","Arkansas","SEC","18","454","8.9","15.5","0.574","8.9","15.5","0.574","0.0","0.0",NULL,"5.4","8.6","0.622","8.1","2.6","0.6","1.9","3.5","4.0","23.2","-1.9"
"Corliss Williamson","1993-94","Arkansas","SEC","34","989","11.0","17.6","0.626","11.0","17.6","0.626","0.0","0.0",NULL,"6.0","8.6","0.700","10.6","3.0","1.6","1.6","3.6","3.2","28.1","-1.9"
"Corliss Williamson","1994-95","Arkansas","SEC","39","1208","9.4","17.1","0.550","9.3","16.9","0.554","0.0","0.2","0.167","6.7","10.1","0.668","9.7","2.9","2.2","1.1","3.0","3.5","25.5","-1.9"
"Eric Williams","1993-94","Providence","Big East","30","781","8.5","16.7","0.508","8.5","16.5","0.516","0.0","0.3","0.000","7.1","10.7","0.660","7.7","1.9","1.8","0.7","2.7","3.4","24.1","-1.8"
"Eric Williams","1994-95","Providence","Big East","30","1041","7.1","17.1","0.413","6.0","14.1","0.422","1.1","3.0","0.372","5.1","7.5","0.687","7.7","2.9","2.3","0.4","3.0","3.7","20.4","-1.8"
"Brent Barry","1991-92","Oregon State","Pac-10","31","545","4.2","10.0","0.419","2.3","4.3","0.542","1.8","5.7","0.325","1.6","2.4","0.667","3.4","5.1","2.2","0.8","4.0","3.6","11.8","27.2"
"Brent Barry","1992-93","Oregon State","Pac-10","23","607","3.6","8.8","0.410","2.6","4.6","0.571","1.0","4.2","0.234","2.6","3.1","0.851","3.2","5.5","2.2","1.4","5.0","4.2","10.9","27.2"
"Brent Barry","1993-94","Oregon State","Pac-10","27","959","6.0","12.1","0.498","4.4","7.7","0.573","1.6","4.3","0.365","3.5","4.7","0.759","5.9","3.9","2.7","1.0","3.9","3.5","17.1","27.2"
"Brent Barry","1994-95","Oregon State","Pac-10","27","1012","7.2","13.9","0.514","5.1","8.7","0.586","2.1","5.2","0.394","6.0","7.4","0.823","6.3","4.1","2.8","0.5","3.4","2.8","22.4","27.2"
"Alan Henderson","1991-92","Indiana","Big Ten","33","783","7.7","15.2","0.508","7.7","15.0","0.512","0.1","0.2","0.250","4.1","6.2","0.661","12.2","0.9","1.6","2.6","1.6","4.3","19.6","1.1"
"Alan Henderson","1992-93","Indiana","Big Ten","30","737","7.1","14.5","0.487","7.0","14.2","0.494","0.1","0.3","0.167","3.9","6.1","0.637","13.2","1.5","1.9","2.3","2.4","4.0","18.1","1.1"
"Alan Henderson","1993-94","Indiana","Big Ten","30","983","8.1","15.2","0.531","8.0","14.9","0.534","0.1","0.2","0.333","5.5","8.4","0.657","12.5","1.5","1.6","2.3","2.4","3.7","21.7","1.1"
"Alan Henderson","1994-95","Indiana","Big Ten","31","1093","10.4","17.4","0.597","10.3","17.1","0.605","0.1","0.4","0.200","5.8","9.2","0.633","11.1","2.0","1.5","2.3","3.3","3.5","26.7","1.1"
"Bob Sura","1991-92","Florida State","ACC","31","872","5.7","12.3","0.461","3.9","7.8","0.503","1.7","4.5","0.388","4.3","6.9","0.627","4.9","3.5","1.9","0.2","3.3","3.1","17.4","9.2"
"Bob Sura","1992-93","Florida State","ACC","34","1213","7.9","17.6","0.452","5.5","10.3","0.537","2.4","7.3","0.332","4.0","6.2","0.638","6.9","3.0","1.8","0.2","4.3","2.9","22.3","9.2"
"Bob Sura","1993-94","Florida State","ACC","27","932","8.7","18.5","0.469","6.4","11.5","0.562","2.2","7.0","0.317","5.0","7.7","0.654","9.1","5.2","2.8","0.8","4.8","2.9","24.6","9.2"
"Bob Sura","1994-95","Florida State","ACC","27","981","6.7","16.0","0.417","4.6","9.6","0.481","2.1","6.4","0.323","5.0","7.3","0.687","7.5","6.0","2.0","0.2","3.8","3.1","20.5","9.2"
"Theo Ratliff","1992-93","Wyoming","WAC","28","824","4.8","8.9","0.538","4.8","8.9","0.541","0.0","0.0","0.000","2.9","5.6","0.517","8.4","0.4","0.7","6.0","2.7","4.3","12.5","15.1"
"Theo Ratliff","1993-94","Wyoming","WAC","28","892","7.2","12.6","0.569","7.2","12.6","0.571","0.0","0.0","0.000","5.0","7.7","0.649","9.7","1.2","1.1","5.1","3.2","4.4","19.3","15.1"
"Theo Ratliff","1994-95","Wyoming","WAC","28","912","6.5","11.9","0.544","6.4","11.7","0.551","0.0","0.2","0.200","4.7","7.4","0.633","9.3","1.4","0.7","6.3","3.0","4.2","17.7","15.1"
"Randolph Childress","1990-91","Wake Forest","ACC","29","708","6.9","15.5","0.449","3.3","6.1","0.546","3.6","9.4","0.386","5.4","6.9","0.772","3.5","3.7","2.5","0.4","3.3","3.4","22.9","-0.4"
"Randolph Childress","1992-93","Wake Forest","ACC","30","1030","7.1","14.8","0.484","3.4","6.3","0.540","3.7","8.4","0.442","5.0","6.1","0.810","3.3","4.9","1.7","0.2","3.5","2.9","23.0","-0.4"
"Randolph Childress","1993-94","Wake Forest","ACC","29","1017","6.2","15.0","0.415","3.3","7.0","0.469","2.9","8.0","0.368","6.9","8.8","0.789","3.9","4.5","1.8","0.2","4.2","2.9","22.3","-0.4"
"Randolph Childress","1994-95","Wake Forest","ACC","32","1216","6.0","13.8","0.438","2.9","5.7","0.514","3.1","8.1","0.384","6.1","7.3","0.833","3.8","5.5","1.6","0.2","4.1","2.4","21.2","-0.4"
"Jason Caffey","1991-92","Alabama","SEC","30","331","3.7","8.8","0.425","3.7","8.7","0.431","0.0","0.1","0.000","1.2","3.6","0.333","8.1","1.2","0.5","1.6","4.0","6.3","8.7","-1.6"
"Jason Caffey","1992-93","Alabama","SEC","29","847","8.0","15.4","0.518","7.8","14.9","0.527","0.1","0.5","0.273","3.8","6.1","0.615","11.9","1.8","1.3","0.9","4.3","4.0","19.9","-1.6"
"Jason Caffey","1993-94","Alabama","SEC","29","784","7.1","13.7","0.520","7.1","13.6","0.521","0.1","0.1","0.500","4.6","7.3","0.629","9.3","1.0","0.9","0.9","3.7","3.8","18.9","-1.6"
"Jason Caffey","1994-95","Alabama","SEC","31","933","6.3","12.5","0.509","6.3","12.3","0.516","0.0","0.2","0.000","3.4","6.2","0.545","10.7","2.2","0.8","0.7","3.6","3.3","16.1","-1.6"
"Michael Finley","1991-92","Wisconsin","Big Ten","31","920","5.7","12.5","0.453","4.5","9.3","0.484","1.1","3.1","0.361","4.1","5.6","0.742","6.6","3.7","1.2","1.0","3.8","3.2","16.6","29.2"
"Michael Finley","1992-93","Wisconsin","Big Ten","28","979","9.1","19.5","0.467","6.5","12.5","0.525","2.6","7.1","0.364","4.5","5.9","0.771","6.6","3.5","2.0","0.7","3.1","3.2","25.3","29.2"
"Michael Finley","1993-94","Wisconsin","Big Ten","29","1046","8.0","17.1","0.466","5.4","10.1","0.538","2.5","7.0","0.363","4.2","5.4","0.786","7.4","3.5","1.5","0.8","2.9","2.6","22.6","29.2"
"Michael Finley","1994-95","Wisconsin","Big Ten","27","1000","7.1","18.8","0.379","4.8","10.6","0.451","2.3","8.2","0.284","5.6","7.2","0.773","5.6","4.3","2.1","0.6","3.2","2.9","22.2","29.2"
"George Zidek","1991-92","UCLA","Pac-10","17","66","4.8","12.7","0.381","4.8","12.1","0.400","0.0","0.6","0.000","1.2","2.4","0.500","11.5","1.2","0.6","0.6","1.8","12.7","10.9","-1.9"
"George Zidek","1992-93","UCLA","Pac-10","26","233","3.8","8.9","0.423","3.8","8.9","0.423","0.0","0.0",NULL,"3.3","4.3","0.760","7.4","1.4","0.7","1.0","1.9","9.1","10.8","-1.9"
"George Zidek","1993-94","UCLA","Pac-10","28","688","7.0","13.5","0.517","7.0","13.4","0.522","0.0","0.1","0.000","4.1","5.4","0.763","11.5","0.9","0.5","0.9","2.7","5.7","18.1","-1.9"
"George Zidek","1994-95","UCLA","Pac-10","33","771","7.3","13.1","0.553","7.2","12.9","0.556","0.1","0.3","0.400","3.5","4.8","0.731","9.2","0.8","0.6","1.1","2.7","5.5","18.2","-1.9"
